id,depotId,cert_stock,cert_signal,cert_telecom,jobCards_count,jobCards_list,odometer,lastService,branding_status,branding_hoursRemaining,branding_totalHours,branding_endDate,cleaningSlot,crew_assigned,crew_driverId,crew_validUntil,override_flag,override_category,override_reason,override_by,serviceStatus,arrivalTime
KM001,Muttom,2025-12-23,2026-06-18,2026-08-19,1,[],152133,2023-08-02,False,11,0,None,True,True,CR006,28/06/26 0000,True,Safety,Emergency Recall,Workshop Staff,inService,11:24 PM
KM002,Muttom,2026-02-17,2026-09-03,2026-06-02,2,[],145661,2024-12-11,False,14,0,None,True,True,CR007,13/02/26 0000,False,None,None,None,standby,None
KM003,Muttom,2026-09-25,2026-06-28,2026-01-30,2,[],152065,2023-10-29,True,42,192,2025-11-13,True,True,CR021,07/06/26 0000,True,Safety,Emergency Recall,Workshop Staff,maintenance,None
KM004,Muttom,2026-03-05,2026-08-12,2026-05-09,1,[],127318,2024-09-08,True,26,212,2025-11-23,True,True,CR014,06/05/26 0000,False,None,None,None,outOfService,None
KM005,Muttom,2026-06-18,2026-05-10,2026-08-27,2,[],131898,2023-11-20,True,37,102,2026-07-07,True,True,CR011,04/02/26 0000,True,Safety,Emergency Recall,Workshop Staff,inService,11:50 PM
KM006,Muttom,2026-09-19,2025-11-04,2025-11-26,2,[],123161,2024-01-19,False,20,0,None,True,True,CR006,30/01/26 0000,False,None,None,None,outOfService,None
KM007,Muttom,2027-09-17,2024-11-22,2025-12-23,0,[],136626,2024-08-14,False,7,0,None,False,True,CR006,08/09/26 0000,True,Safety,Emergency Recall,Workshop Staff,inService,10:40 PM
KM008,Muttom,2026-08-28,2027-10-31,2025-05-27,2,"[{'title': 'Passenger display malfunction', 'priority': 'Medium'}, {'title': 'Emergency braking system fault', 'priority': 'Critical'}]",136795,2023-09-01,True,5,198,2026-06-25,True,False,,,False,None,None,None,inService,10:57 PM
KM009,Muttom,2026-04-22,2026-07-30,2026-05-04,3,"[{'title': 'Door sensor fault', 'priority': 'Critical'}, {'title': 'Battery replacement', 'priority': 'High'}, {'title': 'CCTV fault', 'priority': 'High'}]",124290,2023-11-01,False,20,0,None,False,False,,,False,None,None,None,outOfService,None
KM010,Muttom,2024-12-13,2027-03-18,2026-08-24,0,[],145511,2023-11-12,True,19,155,2026-07-11,True,False,,,False,None,None,None,maintenance,None
KM011,Muttom,2026-11-11,2025-06-16,2027-02-22,1,"[{'title': 'Seat repairs', 'priority': 'High'}]",153941,2024-05-10,False,19,0,None,True,False,,,True,Operational,Special Event Demand,Operations Manager,maintenance,None
KM012,Muttom,2027-05-13,2026-01-03,2024-06-29,4,"[{'title': 'Brake pad inspection', 'priority': 'Critical'}, {'title': 'Pantograph wear', 'priority': 'High'}, {'title': 'Seat repairs', 'priority': 'Critical'}, {'title': 'CCTV fault', 'priority': 'Critical'}]",129327,2024-03-24,False,16,0,None,True,True,CR007,04/06/26 0000,False,None,None,None,outOfService,None
KM013,Muttom,2025-05-25,2027-04-28,2025-12-24,1,"[{'title': 'Battery replacement', 'priority': 'Medium'}]",131537,2025-01-05,False,7,0,None,False,False,,,False,None,None,None,outOfService,None
KM014,Muttom,2026-04-08,2026-06-11,2027-07-30,5,"[{'title': 'Battery replacement', 'priority': 'Medium'}, {'title': 'Pantograph wear', 'priority': 'Critical'}, {'title': 'Door sensor fault', 'priority': 'Critical'}, {'title': 'Battery replacement', 'priority': 'Low'}, {'title': 'Traction motor failure', 'priority': 'Critical'}]",152436,2024-06-15,False,17,0,None,False,False,,,True,Safety,Emergency Recall,Control Room,inService,10:56 PM
